spec,n,term,estimate,se,p
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_Vz,0.11687795368014935,0.06715141357867915,0.08860370220001701
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_Gz,-0.1379178620335904,0.052994530249498226,0.012487084402386106
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,active_raw_VG,0.02778587143773019,0.01377240327144582,0.04963062544705843
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,log_loan_amount,1.179930436434415,0.10766002802068664,2.731148640577885e-14
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,log_borrower_count,0.006768237321285491,0.10835920366835047,0.9504722380991593
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,log_repayment_term,2.30934403014433,0.7077034376395092,0.002107263001038584
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,log_platform_posting_7d,-0.06584485678189847,0.05373512925404398,0.22681471821511856
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,lag_cohort_logfh,0.5298571581188302,0.1422164204848427,0.0005412809211384761
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,lag_cohort_r72,1.4499065477652187,0.474384094483632,0.0037606593490406848
T2b 主模型 + 队列速度 + 队列72h率 + 队列规模,1234131,lag_cohort_logn,-0.031908929705213675,0.05306164326504288,0.5506205528036316
T3a 14天规格 · 主样本,1234131,posting_14d_raw_Cz,0.19402378100504736,0.04174477732876755,2.9417548788712722e-05
T3a 14天规格 · 主样本,1234131,posting_14d_raw_Hz,0.2705673089284776,0.04388304202363781,1.77178052007676e-07
T3a 14天规格 · 主样本,1234131,posting_14d_raw_CH,0.09313271044030455,0.018836058155768578,1.1068053624496699e-05
T3a 14天规格 · 主样本,1234131,posting_14d_raw_Vz,0.15464726227514847,0.0678183001473737,0.02737729613124884
T3a 14天规格 · 主样本,1234131,posting_14d_raw_Gz,-0.0728621075948263,0.05933471880309655,0.22583731463054724
T3a 14天规格 · 主样本,1234131,posting_14d_raw_VG,0.027668322402340666,0.01553276817241395,0.08161562106908349
T3a 14天规格 · 主样本,1234131,log_loan_amount,1.1769688560364377,0.10825437208907975,3.552713678800501e-14
T3a 14天规格 · 主样本,1234131,log_borrower_count,0.036820998589609535,0.10775222369471239,0.7341529602466084
T3a 14天规格 · 主样本,1234131,log_repayment_term,2.3278938090707038,0.7031937653929348,0.0018409012553899373
T3a 14天规格 · 主样本,1234131,log_platform_posting_7d,-0.016257938116458207,0.07529580867290232,0.8300251797581808
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_Cz,0.21575488152162509,0.04614304911222089,2.6848421962544222e-05
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_Hz,0.26322764445296704,0.04281495755431763,1.881892577326738e-07
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_CH,0.0893345797644478,0.01981547706947772,4.6333673306531153e-05
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_Vz,0.13860947424128242,0.06921528706585997,0.0512691116987245
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_Gz,-0.06725396087941612,0.060036000833398745,0.26856024519241584
T3b 14天规格 · 14天样本,1256347,posting_14d_raw_VG,0.026047968072319662,0.015982927803684637,0.11013821316854533
T3b 14天规格 · 14天样本,1256347,log_loan_amount,1.1684139782642395,0.1059336331511459,2.19824158875781e-14
T3b 14天规格 · 14天样本,1256347,log_borrower_count,0.03941087676535602,0.1082828793662715,0.7175907796735053
T3b 14天规格 · 14天样本,1256347,log_repayment_term,2.2841131914392667,0.6964289789908525,0.002009896339024264
T3b 14天规格 · 14天样本,1256347,log_platform_posting_7d,-0.0359682988706771,0.07749739664055541,0.6447973976733099
